# Source: Wikipedia (List of Pro Football Hall of Fame inductees), CC BY-SA 4.0.
name,class,position,first_year_of_eligibility,teams
Gary Zimmerman,2008,Offensive tackle,no,Minnesota Vikings (1986–1992); Denver Broncos (1993–1997)
Bob Hayes,2009,Wide receiver,no,Dallas Cowboys (1965–1974); San Francisco 49ers (1975)
Bruce Smith,2009,Defensive end,yes,Buffalo Bills (1985–1999); Washington Redskins (2000–2003)
Derrick Thomas,2009,Linebacker,no,Kansas City Chiefs (1989–1999)
Ralph C. Wilson,2009,AFL co-founder,no,Buffalo Bills (AFL/ NFL) (1959–2014)
Randall McDaniel,2009,Guard,no,Minnesota Vikings (1988–1999); Tampa Bay Buccaneers (2000–2001)
Rod Woodson,2009,Cornerback/safety/kick returner,yes,Pittsburgh Steelers (1987–1996); San Francisco 49ers (1997); Baltimore Ravens (1998–2001); Oakland Raiders (2002–2003)
Dick LeBeau,2010,Cornerback,no,Detroit Lions (1959–1972)
Emmitt Smith,2010,Running back,yes,Dallas Cowboys (1990–2002); Arizona Cardinals (2003–2004)
Floyd Little,2010,Running back,no,Denver Broncos (1967–1975)
Jerry Rice,2010,Wide receiver,yes,San Francisco 49ers (1985–2000); Oakland Raiders (2001–2004); Seattle Seahawks (2004)
John Randle,2010,Defensive tackle,no,Minnesota Vikings (1990–2000); Seattle Seahawks (2001–2003)
Rickey Jackson,2010,Linebacker/defensive end,no,New Orleans Saints (1981–1993); San Francisco 49ers (1994–1995)
Russ Grimm,2010,Guard,no,Washington Redskins (1981–1991)
Chris Hanburger,2011,Linebacker,no,Washington Redskins (1965–1978)
Deion Sanders,2011,Cornerback/kick returner,yes,Atlanta Falcons (1989–1993); San Francisco 49ers (1994); Dallas Cowboys (1995–1999); Washington Redskins (2000); Baltimore Ravens (2004–2005)
Ed Sabol,2011,Founder of NFL Films,no,
Les Richter,2011,Linebacker/center/kicker,no,Los Angeles Rams (1954–1962)
Marshall Faulk,2011,Running back,yes,Indianapolis Colts (1994–1998); St. Louis Rams (1999–2005)
Richard Dent,2011,Defensive end,no,"Chicago Bears (1983–1993, 1995); San Francisco 49ers (1994); Indianapolis Colts (1996); Philadelphia Eagles (1997)"
Shannon Sharpe,2011,Tight end,no,"Denver Broncos (1990–1999, 2002–2003); Baltimore Ravens (2000–2001)"
Chris Doleman,2012,Defensive end/linebacker,no,"Minnesota Vikings (1985–1993, 1999); Atlanta Falcons (1994–1995); San Francisco 49ers (1996–1998)"
Cortez Kennedy,2012,Defensive tackle,no,Seattle Seahawks (1990–2000)
Curtis Martin,2012,Running back,no,New England Patriots (1995–1997); New York Jets (1998–2005)
Dermontti Dawson,2012,Center,no,Pittsburgh Steelers (1988–2000)
Jack Butler,2012,Cornerback,no,Pittsburgh Steelers (1951–1959)
Willie Roaf,2012,Offensive tackle,no,New Orleans Saints (1993–2001); Kansas City Chiefs (2002–2005)
Bill Parcells,2013,Coach,no,New York Giants (1983–1990); New England Patriots (1993–1996); New York Jets (1997–1999); Dallas Cowboys (2003–2006)
Cris Carter,2013,Wide receiver,no,Philadelphia Eagles (1987–1989); Minnesota Vikings (1990–2001); Miami Dolphins (2002)
Curley Culp,2013,Defensive tackle,no,Kansas City Chiefs (1968–1974); Houston Oilers (1974–1980); Detroit Lions (1980–1981)
Dave Robinson,2013,Linebacker,no,Green Bay Packers (1963–1972); Washington Redskins (1973–1974)
Jonathan Ogden,2013,Offensive tackle,yes,Baltimore Ravens (1996–2007)
Larry Allen,2013,Guard/tackle,yes,Dallas Cowboys (1994–2005); San Francisco 49ers (2006–2007)
Warren Sapp,2013,Defensive tackle,yes,Tampa Bay Buccaneers (1995–2003); Oakland Raiders (2004–2007)
Aeneas Williams,2014,Cornerback,no,Phoenix /Arizona Cardinals (1991–2000); St. Louis Rams (2001–2002); St. Louis Rams (2003–2004)
Andre Reed,2014,Wide receiver,no,Buffalo Bills (1985–1999); Washington Redskins (2000)
Claude Humphrey,2014,Defensive end,no,Atlanta Falcons (1968–1974 1976–1978); Philadelphia Eagles (1979–1981)
Derrick Brooks,2014,Linebacker,yes,Tampa Bay Buccaneers (1995–2008)
Michael Strahan,2014,Defensive end,no,New York Giants (1993–2007)
Ray Guy,2014,Punter,no,Oakland/ Los Angeles Raiders (1973–1986)
Walter Jones,2014,Offensive tackle,yes,Seattle Seahawks (1997–2008)
Bill Polian,2015,General manager,no,Buffalo Bills (1986–1992); Carolina Panthers (1995–1997); Indianapolis Colts (1998–2008); Indianapolis Colts (1998–2011)
Charles Haley,2015,Defensive end/linebacker,no,"San Francisco 49ers (1986–1991, 1998–1999); Dallas Cowboys (1992–1996)"
Jerome Bettis,2015,Running back,no,Los Angeles/ St. Louis Rams (1993–1995); Pittsburgh Steelers (1996–2005)
Junior Seau,2015,Linebacker,no,San Diego Chargers (1990–2002); Miami Dolphins (2003–2005); New England Patriots (2006–2009)
Mick Tingelhoff,2015,Center,no,Minnesota Vikings (1962–1978)
Ron Wolf,2015,General manager,no,Tampa Bay Buccaneers (1976–1978); Green Bay Packers (1991–2001)
Tim Brown,2015,Wide receiver/punt returner,no,Los Angeles/Oakland Raiders (1988–2003); Tampa Bay Buccaneers (2004)
Will Shields,2015,Guard,no,Kansas City Chiefs (1993–2006)
Brett Favre,2016,Quarterback,yes,Atlanta Falcons (1991); Green Bay Packers (1992–2007); New York Jets (2008); Minnesota Vikings (2009–2010)
Dick Stanfel,2016,Guard,no,Detroit Lions (1952–1955); Washington Redskins (1956–1958)
"Edward J. DeBartolo, Jr.",2016,Team owner,no,San Francisco 49ers (1977–2000)
Ken Stabler,2016,Quarterback,no,Oakland Raiders (1970–1979); Houston Oilers (1980–1981); New Orleans Saints (1982–1984)
Kevin Greene,2016,Linebacker,no,"Los Angeles Rams (1985–1992); Pittsburgh Steelers (1993–1995); Carolina Panthers (1996, 1998–1999); San Francisco 49ers (1997)"
Marvin Harrison,2016,Wide receiver,no,Indianapolis Colts (1996–2008)
Orlando Pace,2016,Offensive tackle,no,St. Louis Rams (1997–2008); Chicago Bears (2009)
Tony Dungy,2016,Coach,no,Tampa Bay Buccaneers (1996–2001); Indianapolis Colts (2002–2008)
Jason Taylor,2017,Defensive End,yes,"Miami Dolphins (1997–2007, 2009, 2011); Washington Redskins (2008); New York Jets (2010)"
Jerry Jones,2017,"Team owner, president, general manager",no,Dallas Cowboys (1989–present)
Kenny Easley,2017,Safety,no,Seattle Seahawks (1981–1987)
Kurt Warner,2017,Quarterback,no,St. Louis Rams (1998–2003); New York Giants (2004); Arizona Cardinals (2005–2009)
LaDainian Tomlinson,2017,Running back,yes,San Diego Chargers (2001–2009); New York Jets (2010–2011)
Morten Andersen,2017,Placekicker,no,New Orleans Saints (1982–1994); Atlanta Falcons (1995–2000 2006–2007); New York Giants (2001); Kansas City Chiefs (2002–2003); Minnesota Vikings (2004)
Terrell Davis,2017,Running back,no,Denver Broncos (1995–2001)
Bobby Beathard,2018,Personnel administrator,no,"Kansas City Chiefs (1963, 1966–1967); Atlanta Falcons (1968–1971); Miami Dolphins (1972–1977); Washington Redskins (1978–1989); San Diego Chargers (1990–2000)"
Brian Dawkins,2018,Safety,no,Philadelphia Eagles (1996–2008); Denver Broncos (2009–2011)
Brian Urlacher,2018,Linebacker,yes,Chicago Bears (2000–2012)
Jerry Kramer,2018,Guard,no,Green Bay Packers (1958–1968)
Randy Moss,2018,Wide receiver,yes,"Minnesota Vikings (1998–2004, 2010); Oakland Raiders (2005–2006); New England Patriots (2007–2010); Tennessee Titans (2010); San Francisco 49ers (2012)"
Ray Lewis,2018,Middle linebacker,yes,Baltimore Ravens (1996–2012)
Robert Brazile,2018,Linebacker,no,Houston Oilers (1975–1984)
Terrell Owens,2018,Wide receiver,no,San Francisco 49ers (1996–2003); Philadelphia Eagles (2004–2005); Dallas Cowboys (2006–2008); Buffalo Bills (2009); Cincinnati Bengals (2010)
Champ Bailey,2019,Cornerback,yes,Washington Redskins (1999–2003); Denver Broncos (2004–2013)
Ed Reed,2019,Free safety,yes,Baltimore Ravens (2002–2012); New York Jets (2013); Houston Texans (2013)
Gil Brandt,2019,VP of player personnel,no,Dallas Cowboys (1960–1988); NFL.com (1995–2023)
Johnny Robinson,2019,Safety,no,Dallas Texans (AFL)/ Kansas City Chiefs (1960–1971)
Kevin Mawae,2019,Center/guard,no,Seattle Seahawks (1994–1997); New York Jets (1998–2005); Tennessee Titans (2006–2009)
Pat Bowlen,2019,Team owner,no,Denver Broncos (1984–2019)
Tony Gonzalez,2019,Tight end,yes,Kansas City Chiefs (1997–2008); Atlanta Falcons (2009–2013)
Ty Law,2019,Cornerback,no,"New England Patriots (1995–2004); New York Jets (2005, 2008); Kansas City Chiefs (2006–2007); Denver Broncos (2009)"
Alex Karras,2020,Defensive tackle,no,Detroit Lions (1958–1962 1964–1970)
Bill Cowher,2020,Coach,no,Pittsburgh Steelers (1992–2006)
Bobby Dillon,2020,Defensive back,no,Green Bay Packers (1952–1959)
Cliff Harris,2020,Free safety,no,Dallas Cowboys (1970–1979)
Donnie Shell,2020,Defensive back,no,Pittsburgh Steelers (1974–1987)
Duke Slater,2020,Tackle Pre-Modern Era: Two-Way Performer,no,Milwaukee Badgers (1922); Rock Island Independents (1922–1925); Chicago Cardinals (1926–1931)
Ed Sprinkle,2020,End Pre-Modern Era: Two-Way Performer,no,Chicago Bears (1944–1955)
Edgerrin James,2020,Running back,no,Indianapolis Colts (1999–2005); Arizona Cardinals (2006–2008); Seattle Seahawks (2009)
George Young,2020,Director of player personnel,no,Miami Dolphins (1975–1978); New York Giants (1979–1997)
Harold Carmichael,2020,Wide receiver,no,Philadelphia Eagles (1971–1983); Dallas Cowboys (1984)
Isaac Bruce,2020,Wide receiver,no,Los Angeles/ St. Louis Rams (1994–2007); San Francisco 49ers (2008–2009)
Jim Covert,2020,Offensive tackle,no,Chicago Bears (1983–1990)
Jimmy Johnson,2020,Coach,no,Dallas Cowboys (1989–1993); Miami Dolphins (1996–1999)
Mac Speedie,2020,End,no,Cleveland Browns (1946–1952)
Paul Tagliabue,2020,NFL commissioner,no,
Steve Atwater,2020,Safety,no,Denver Broncos (1989–1998); New York Jets (1999)
Steve Hutchinson,2020,Guard,no,Seattle Seahawks (2001–2005); Minnesota Vikings (2006–2011); Tennessee Titans (2012)
Steve Sabol,2020,NFL Films co-founder,no,
Troy Polamalu,2020,Safety,yes,Pittsburgh Steelers (2003–2014)
Winston Hill,2020,Offensive tackle,no,New York Jets (1963–1976); Los Angeles Rams (1977)
Alan Faneca,2021,Guard,no,Pittsburgh Steelers (1998–2007); New York Jets (2008–2009); Arizona Cardinals (2010)
Bill Nunn,2021,Scout,no,Pittsburgh Steelers (1968–2014)
Calvin Johnson,2021,Wide receiver,yes,Detroit Lions (2007–2015)
Charles Woodson,2021,Cornerback/safety,yes,"Oakland Raiders (1998–2005, 2013–2015); Green Bay Packers (2006–2012)"
Drew Pearson,2021,Wide receiver,no,Dallas Cowboys (1973–1983)
John Lynch,2021,Safety,no,Tampa Bay Buccaneers (1993–2003); Denver Broncos (2004–2007)
Peyton Manning,2021,Quarterback,yes,Indianapolis Colts (1998–2011); Denver Broncos (2012–2015)
Tom Flores,2021,Coach,no,Oakland/ Los Angeles Raiders (1979–1987); Seattle Seahawks (1992–1994)
Art McNally,2022,Supervisor of officials,no,
Bryant Young,2022,Defensive end/tackle,no,San Francisco 49ers (1994–2007)
Cliff Branch,2022,Wide receiver,no,Oakland/Los Angeles Raiders (1972–1985)
Dick Vermeil,2022,Coach,no,Philadelphia Eagles (1976–1982); St. Louis Rams (1997–1999); Kansas City Chiefs (2001–2005)
LeRoy Butler,2022,Safety,no,Green Bay Packers (1990–2001)
Richard Seymour,2022,Defensive end/tackle,no,New England Patriots (2001–2008); Oakland Raiders (2009–2012)
Sam Mills,2022,Linebacker,no,New Orleans Saints (1986–1994); Carolina Panthers (1995–1997)
Tony Boselli,2022,Offensive tackle,no,Jacksonville Jaguars (1995–2001)
Chuck Howley,2023,Linebacker,no,Chicago Bears (1958–1959); Dallas Cowboys (1961–1973)
Darrelle Revis,2023,Cornerback,yes,"New York Jets (2007–2012, 2015–2016); Tampa Bay Buccaneers (2013); New England Patriots (2014); Kansas City Chiefs (2017)"
DeMarcus Ware,2023,Linebacker/defensive end,no,Dallas Cowboys (2005–2013); Denver Broncos (2014–2016)
Don Coryell,2023,Coach,no,St. Louis Cardinals (1973–1977); San Diego Chargers (1978–1986)
Joe Klecko,2023,Defensive end/defensive tackle/nose tackle,no,New York Jets (1977–1987); Indianapolis Colts (1988)
Joe Thomas,2023,Offensive tackle,yes,Cleveland Browns (2007–2017)
Ken Riley,2023,Cornerback,no,Cincinnati Bengals (1969–1983)
Ronde Barber,2023,Cornerback/safety,no,Tampa Bay Buccaneers (1997–2012)
Zach Thomas,2023,Linebacker,no,Miami Dolphins (1996–2007); Dallas Cowboys (2008)
Andre Johnson,2024,Wide receiver,no,Houston Texans (2003–2014); Indianapolis Colts (2015); Tennessee Titans (2016)
Devin Hester,2024,Wide receiver/return specialist,no,Chicago Bears (2006–2013); Atlanta Falcons (2014–2015); Baltimore Ravens (2016); Seattle Seahawks (2016)
Dwight Freeney,2024,Defensive end,no,Indianapolis Colts (2002–2012); San Diego Chargers (2013–2014); Arizona Cardinals (2015); Atlanta Falcons (2016); Seattle Seahawks (2017); Detroit Lions (2017)
Julius Peppers,2024,Defensive end,yes,"Carolina Panthers (2002–2009, 2017–2018); Chicago Bears (2010–2013); Green Bay Packers (2014–2016)"
Patrick Willis,2024,Linebacker,no,San Francisco 49ers (2007–2014)
Randy Gradishar,2024,Linebacker,no,Denver Broncos (1974–1983)
Steve McMichael,2024,Defensive tackle,no,New England Patriots (1980); Chicago Bears (1981–1993); Green Bay Packers (1994)
Antonio Gates,2025,Tight End,no,San Diego/Los Angeles Chargers (2003–2018)
Eric Allen,2025,Cornerback,no,Philadelphia Eagles (1988–1994); New Orleans Saints (1995–1997); Oakland Raiders (1998–2001)
Jared Allen,2025,Defensive end,no,Kansas City Chiefs (2004–2007); Minnesota Vikings (2008–2013); Chicago Bears (2014–2015); Carolina Panthers (2015)
Sterling Sharpe,2025,Wide receiver,no,Green Bay Packers (1988–1994)
Adam Vinatieri,2026,Placekicker,no,New England Patriots (1996–2005); Indianapolis Colts (2006–2019)
Drew Brees,2026,Quarterback,yes,San Diego Chargers (2001–2005); New Orleans Saints (2006–2020)
Larry Fitzgerald,2026,Wide receiver,yes,Arizona Cardinals (2004–2020)
Luke Kuechly,2026,Linebacker,no,Carolina Panthers (2012–2019)
Roger Craig,2026,Running back,no,San Francisco 49ers (1983–1990); Los Angeles Raiders (1991); Minnesota Vikings (1992–1993)
